,0
0,9.1814
1,8.2179
2,8.8199
3,7.8203
4,8.766
5,10.0497
6,8.9767
7,8.95
8,8.5129
9,9.5243
10,8.3818
11,8.8788
12,9.4622
13,8.2517
14,8.815
15,8.7406
16,8.3087
17,8.5095
18,8.101
19,9.2968
20,8.738
21,8.8505
22,7.082
23,5.0
24,7.6888
25,8.1341
26,6.5458
27,8.4312
28,7.0504
29,8.2471
30,8.9805
31,7.6224
32,7.7924
33,8.0548
34,8.4274
35,8.6205
36,8.1443
37,8.908
38,7.8979
39,10.1013
40,6.0659
41,7.3663
42,7.7215
43,6.9128
44,9.7423
45,8.9654
46,8.4877
47,6.7692
48,8.7739
49,7.2408
50,8.5928
51,7.0656
52,8.0318
53,6.1834
54,8.8814
55,7.6569
56,8.2708
57,7.4146
58,7.2658
59,8.7983
60,7.0908
61,8.7607
62,6.7488
63,8.4593
64,7.8306
65,7.6995
66,9.0479
67,8.8508
68,8.4672
69,8.8959
70,8.1301
71,6.7864
72,8.311
73,9.5129
74,7.2811
75,7.3921
76,8.5959
77,8.4346
78,8.3256
79,8.2806
80,8.0392
81,6.0053
82,5.0787
83,9.0684
84,8.4634
85,7.7772
86,7.8062
87,8.2132
88,8.6755
89,8.6472
90,7.8917
91,6.6539
92,8.7268
93,9.0061
94,6.4303
95,7.2824
96,8.3283
97,7.4722
98,8.4914
99,8.0693
100,9.3433
101,7.1875
102,8.6287
103,9.2191
104,6.4403
105,8.2714
106,7.4804
107,8.4999
108,8.4707
109,6.9411
110,8.2802
111,8.7706
112,5.873
113,7.3163
114,8.3668
115,6.8964
116,5.7611
117,9.1568
118,7.6104
119,8.9736
120,8.1334
121,5.6969
122,7.437
123,5.0
124,6.1076
125,6.0405
126,6.4654
127,7.9602
128,7.2954
129,7.4552
130,8.558
131,8.9614
132,8.1813
133,8.476
134,8.1383
135,7.9213
136,9.4447
137,6.8806
138,6.7776
139,7.1328
140,7.2243
141,6.8795
142,7.9589
143,9.1129
144,7.3368
145,8.9205
146,5.5985
147,8.4523
148,8.8658
149,6.5662
150,6.3051
151,7.6712
152,9.6495
153,8.3253
154,8.3321
155,6.6874
156,6.6541
157,8.0982
158,6.8914
159,6.2051
160,9.4385
161,9.7305
162,6.1669
163,7.8323
164,7.0657
165,8.512
166,7.6489
167,9.1096
168,8.1023
169,8.9586
170,6.7451
171,8.4692
172,7.1929
173,6.6341
174,6.1965
175,8.7693
176,7.6788
177,7.2942
178,8.161
179,7.9508
180,7.9255
181,7.5223
182,8.7552
183,8.1571
184,6.579
185,7.364
186,5.7347
187,8.7179
188,8.2
189,8.5838
190,5.6159
191,6.1258
192,7.8404
193,7.9749
194,7.473
195,7.8275
196,7.9449
197,6.0054
198,6.1968
199,7.3578
200,6.7387
201,8.6582
202,5.9728
203,7.3563
204,8.0339
205,8.1347
206,7.8423
207,8.2191
208,5.5063
209,5.9564
210,5.8124
211,8.3433
212,8.6005
213,6.7722
214,6.7364
215,8.1686
216,8.4238
217,7.4647
218,7.3193
219,6.8616
220,7.6895
221,7.8735
222,7.0944
223,6.1021
224,8.9366
225,7.3279
226,7.2408
227,6.9148
228,7.1237
229,7.2835
230,6.5779
231,6.5126
232,5.2283
233,8.7027
234,5.1868
235,6.8698
236,6.2978
237,9.4802
238,6.7404
239,8.1445
240,7.4678
241,7.4626
242,6.4295
243,7.4348
244,6.5687
245,7.9266
246,8.2468
247,7.361
248,7.7289
249,7.3965
250,8.739
251,9.1309
252,7.2762
253,6.2314
254,7.4177
255,5.0327
256,9.2314
257,8.4253
258,7.0749
259,5.0
260,8.2473
261,7.2973
262,6.6153
263,8.9354
264,7.5868
265,8.1464
266,7.7882
267,8.5006
268,7.6245
269,8.6404
270,6.8892
271,9.1838
272,6.7617
273,8.113
274,7.6724
275,8.9382
276,8.248
277,8.0113
278,7.6625
279,9.5544
280,5.252
281,5.9993
282,6.724
283,7.2448
284,7.136
285,6.8408
286,7.0483
287,5.9716
288,8.4836
289,7.655
290,7.337
291,7.453
292,8.3023
293,7.7184
294,7.7201
295,7.835
296,8.3553
297,7.6114
298,6.1927
299,6.6004
300,7.4526
301,7.1485
302,8.8342
303,8.4069
304,7.0621
305,6.7053
306,8.3395
307,6.2437
308,4.7604
309,6.9681
310,8.7314
311,8.6463
312,6.4506
313,7.8103
314,8.4885
315,8.1128
316,6.3517
317,7.6036
318,7.9285
319,8.6542
320,7.1988
321,6.7455
322,7.2132
323,7.7893
324,6.9093
325,6.5194
326,8.6107
327,7.0535
328,8.2066
329,8.5815
330,6.6023
331,6.7117
332,8.316
333,9.6226
334,5.8733
335,7.2422
336,7.8273
337,6.4486
338,7.6608
339,6.6819
340,8.4646
341,6.8236
342,6.0557
343,7.1594
344,8.207
345,8.1532
346,6.8762
347,8.4669
348,6.2489
349,7.337
350,9.0591
351,6.241
352,7.8483
353,6.7084
354,7.1182
355,6.2616
356,7.1782
357,5.748
358,5.2079
359,8.5063
360,7.2871
361,8.3735
362,9.3111
363,6.0839
364,7.6312
365,5.0
366,9.0395
367,9.3172
368,6.9212
369,6.0297
370,8.1821
371,8.0856
372,7.1116
373,7.7276
374,5.0299
375,8.1408
376,7.2491
377,9.4134
378,7.9498
379,7.2366
380,8.1766
381,7.2334
382,7.1825
383,6.2132
384,8.278
385,5.2635
386,7.082
387,8.2555
388,8.9748
389,8.1051
390,6.9827
391,8.0144
392,7.0509
393,6.907
394,6.4441
395,7.2328
